episode,reward,length
0,-1.953130755926395,300
1,-1.343388213603248,300
2,-3.329947107937187,300
3,-0.6045467705971532,300
4,-3.2959157009681803,300
5,-0.9805446837190175,300
6,-5.415892231897597,300
7,-2.5202556072035804,300
8,-4.3959420952014625,300
9,-2.742043965396988,300
10,-4.294770865701139,300
11,-2.907853119315405,300
12,-0.989779366645962,300
13,-2.0404053708771244,300
14,-2.093958378682146,300
15,-0.2718809213039286,300
16,-2.374901325907558,300
17,-1.4981761346607527,300
18,-5.752716728486121,300
19,-4.552804242819548,300
20,-0.9833643866113562,300
21,-4.924386873841286,300
22,-2.3346314664267993,300
23,-0.08599073680397851,300
24,-6.896318509243429,300
25,-3.9097162280231714,300
26,-3.406648798380047,300
27,-1.8511212580051506,300
28,-2.093966110376641,300
29,-0.1452422350694178,300
30,-0.6485987386214447,300
31,-3.6902711439324776,300
32,-3.4608046007342637,300
33,-4.9990492314100266,300
34,-0.2570576390927499,300
35,-2.06481161150532,300
36,0.035134780659063836,300
37,-1.7791950524551794,300
38,-2.9564616474090144,300
39,-1.8027501371734616,300
40,0.2018574057110527,300
